Year,App.,Taxon,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Purpose,Source,is_live,import_qty_log,export_qty_log
2016,3.0,Crocodylus Niloticus,Crocodylia,Crocodylidae,Crocodylus,United Arab Emirates,Uganda,Senegal,0.0,2.0,LEATHER PRODUCTS (SMALL),1,3,0,0.0,1.0986122886681096
2016,3.0,Crocodylus Niloticus,Crocodylia,Crocodylidae,Crocodylus,United Arab Emirates,Uganda,Unknown,0.0,1.0,LEATHER PRODUCTS (SMALL),1,3,0,0.0,0.6931471805599453
2016,3.0,Crocodylus Niloticus,Crocodylia,Crocodylidae,Crocodylus,Switzerland,Germany,Unknown,0.0,1.0,BODIES,2,1,0,0.0,0.6931471805599453
2016,3.0,Crocodylus Niloticus,Crocodylia,Crocodylidae,Crocodylus,Switzerland,France,Madagascar,0.0,1.0,SKULLS,3,1,0,0.0,0.6931471805599453
2016,3.0,Crocodylus Niloticus,Crocodylia,Crocodylidae,Crocodylus,China,Spain,Mozambique,16.0,0.0,SKINS,3,1,0,2.833213344056216,0.0
2016,3.0,Crocodylus Niloticus,Crocodylia,Crocodylidae,Crocodylus,Czech Republic,South Africa,Senegal,11.0,0.0,LEATHER PRODUCTS (SMALL),3,1,0,2.4849066497880004,0.0
2016,3.0,Crocodylus Niloticus,Crocodylia,Crocodylidae,Crocodylus,Germany,Switzerland,France,29.0,0.0,SPECIMENS,1,1,0,3.4011973816621555,0.0
2016,3.0,Crocodylus Niloticus,Crocodylia,Crocodylidae,Crocodylus,France,Japan,Unknown,20.84,0.0,CARVINGS,2,1,0,3.083743150876704,0.0
2016,3.0,Crocodylus Niloticus,Crocodylia,Crocodylidae,Crocodylus,France,Japan,Unknown,0.0,5.5,LEATHER PRODUCTS (LARGE),2,1,0,0.0,1.8718021769015916
2016,3.0,Crocodylus Niloticus,Crocodylia,Crocodylidae,Crocodylus,France,Japan,Unknown,1.0,16.32,LEATHER PRODUCTS (SMALL),2,1,0,0.6931471805599453,2.851861903134289
2016,3.0,Crocodylus Niloticus,Crocodylia,Crocodylidae,Crocodylus,Japan,France,Unknown,0.0,13.17,CARVINGS,2,1,0,0.0,2.6511270537025893
2016,3.0,Crocodylus Niloticus,Crocodylia,Crocodylidae,Crocodylus,Japan,France,Unknown,1.0,0.0,LEATHER PRODUCTS (LARGE),2,1,0,0.6931471805599453,0.0
2016,3.0,Crocodylus Niloticus,Crocodylia,Crocodylidae,Crocodylus,Japan,France,Unknown,2.0,0.0,LEATHER PRODUCTS (SMALL),2,1,0,1.0986122886681096,0.0
2016,3.0,Crocodylus Niloticus,Crocodylia,Crocodylidae,Crocodylus,South Korea,United States,Unknown,0.0,3.0,BODIES,2,1,0,0.0,1.3862943611198906
2016,3.0,Crocodylus Niloticus,Crocodylia,Crocodylidae,Crocodylus,Malaysia,Singapore,Philippines,1.0,0.0,LEATHER PRODUCTS (SMALL),3,1,0,0.6931471805599453,0.0
2016,3.0,Crocodylus Niloticus,Crocodylia,Crocodylidae,Crocodylus,Norway,Switzerland,Zimbabwe,1.0,0.0,LEATHER PRODUCTS (SMALL),3,1,0,0.6931471805599453,0.0
2016,3.0,Crocodylus Niloticus,Crocodylia,Crocodylidae,Crocodylus,Portugal,Senegal,Unknown,85.0,0.0,LEATHER PRODUCTS (SMALL),3,1,0,4.454347296253507,0.0
2016,3.0,Crocodylus Niloticus,Crocodylia,Crocodylidae,Crocodylus,Saudi Arabia,Turkey,South Africa,0.0,1.0,GARMENTS,3,3,0,0.0,0.6931471805599453
2016,3.0,Crocodylus Niloticus,Crocodylia,Crocodylidae,Crocodylus,Singapore,France,Unknown,0.0,1.0,LEATHER PRODUCTS (SMALL),3,1,0,0.0,0.6931471805599453
2016,3.0,Crocodylus Niloticus,Crocodylia,Crocodylidae,Crocodylus,Senegal,United States,Unknown,0.0,1.0,LEATHER PRODUCTS (SMALL),1,3,0,0.0,0.6931471805599453
2016,3.0,Crocodylus Niloticus,Crocodylia,Crocodylidae,Crocodylus,Turkey,Switzerland,Zimbabwe,5.0,0.0,LEATHER PRODUCTS (SMALL),3,1,0,1.791759469228055,0.0
2016,3.0,Crocodylus Niloticus,Crocodylia,Crocodylidae,Crocodylus,Turkey,Switzerland,Zimbabwe,17.0,0.0,LEATHER PRODUCTS (SMALL),3,1,0,2.8903717578961645,0.0
2016,3.0,Crocodylus Niloticus,Crocodylia,Crocodylidae,Crocodylus,Turkey,Switzerland,Zimbabwe,26.0,0.0,LEATHER PRODUCTS (SMALL),3,3,0,3.295836866004329,0.0
2016,3.0,Crocodylus Niloticus,Crocodylia,Crocodylidae,Crocodylus,Turkey,Spain,South Africa,18.0,0.0,SKINS,3,1,0,2.9444389791664403,0.0
2016,3.0,Crocodylus Niloticus,Crocodylia,Crocodylidae,Crocodylus,Turkey,Spain,Zimbabwe,60.0,0.0,SKINS,3,1,0,4.110873864173311,0.0
2016,3.0,Crocodylus Niloticus,Crocodylia,Crocodylidae,Crocodylus,Turkey,Spain,Zimbabwe,1.0,0.0,SKINS,3,3,0,0.6931471805599453,0.0
2016,3.0,Crocodylus Niloticus,Crocodylia,Crocodylidae,Crocodylus,Turkey,Italy,South Africa,2.0,0.0,LEATHER PRODUCTS (SMALL),3,1,0,1.0986122886681096,0.0
2016,3.0,Crocodylus Niloticus,Crocodylia,Crocodylidae,Crocodylus,Turkey,Netherlands,Zimbabwe,1.0,0.0,LEATHER PRODUCTS (SMALL),3,3,0,0.6931471805599453,0.0
2016,3.0,Crocodylus Niloticus,Crocodylia,Crocodylidae,Crocodylus,Taiwan,France,Zimbabwe,0.0,1.0,LEATHER PRODUCTS (SMALL),3,1,0,0.0,0.6931471805599453
2016,3.0,Crocodylus Niloticus,Crocodylia,Crocodylidae,Crocodylus,Uganda,United Arab Emirates,Senegal,2.0,0.0,LEATHER PRODUCTS (SMALL),1,3,0,1.0986122886681096,0.0
2016,3.0,Crocodylus Niloticus,Crocodylia,Crocodylidae,Crocodylus,Uganda,United Arab Emirates,Unknown,2.0,0.0,LEATHER PRODUCTS (SMALL),1,3,0,1.0986122886681096,0.0
2016,3.0,Crocodylus Niloticus,Crocodylia,Crocodylidae,Crocodylus,United States,Canada,Unknown,21.0,0.0,LEATHER PRODUCTS (SMALL),3,3,0,3.091042453358316,0.0
